n	pca1	pca2
265	98.6691	1.33094
266	99.3227	0.677275
267	99.7345	0.265514
268	99.9166	0.083398
269	99.8393	0.160658
270	99.7181	0.281931
271	99.6251	0.374939
272	99.9039	0.0961127
273	99.95	0.0500367
274	99.8936	0.106427
275	99.9602	0.0398074
276	99.9205	0.0795318
277	99.7232	0.276832
278	99.9708	0.0291922
279	99.9219	0.0780787
280	99.9241	0.0758865
281	99.9131	0.086869
282	99.9619	0.0380742
283	99.9275	0.0725243
284	99.946	0.0540118
285	99.9769	0.0230881
286	99.9543	0.0456854
287	99.9266	0.0733958
288	99.9552	0.0447524
289	99.0783	0.921717
290	99.9479	0.0520533
291	99.9498	0.0502382
292	99.9266	0.0733995
293	99.9244	0.0756251
294	99.9582	0.041783
295	99.9132	0.0868403
296	99.9031	0.096919
297	99.9585	0.0415399
298	99.8995	0.100452
299	99.9412	0.0587689
300	99.8396	0.160439
301	99.9493	0.0507078
302	99.9104	0.0896379
303	99.9632	0.0368212
304	99.8674	0.132625
305	99.9124	0.0876032
306	99.9194	0.0806127
307	99.9206	0.0794457
308	99.9532	0.0467639
309	99.8023	0.197712
310	99.5436	0.456351
311	99.5246	0.475441
312	99.022	0.978004
313	99.9654	0.0346468
314	99.2358	0.764187
315	99.9413	0.0587305
316	99.9076	0.0923801
317	99.778	0.221981
318	99.8598	0.140204
319	99.779	0.221023
320	99.9367	0.0632893
321	99.6064	0.393632
322	99.8426	0.157407
323	99.5417	0.458287
324	99.555	0.444976
325	99.8291	0.170897
326	99.837	0.162953
327	99.9732	0.026822
328	99.8643	0.135686
329	99.9715	0.0285139
330	98.9599	1.04008
331	99.4147	0.585322
332	99.3724	0.627628
333	98.916	1.08399
334	99.481	0.518979
335	99.8965	0.10351
336	99.8085	0.191483
337	99.1295	0.87046
338	99.7953	0.204657
339	98.103	1.897
340	99.1039	0.896141
341	98.4044	1.59561
342	99.4521	0.547877
343	99.9226	0.077359
344	99.485	0.515035
345	99.9003	0.0996912
346	99.9584	0.041561
347	99.4166	0.583403
348	99.2324	0.767638
349	99.6709	0.329115
350	99.0694	0.930618
351	99.9354	0.0645847
352	99.9144	0.0856281
353	99.9599	0.0401187
354	99.9442	0.0557704
355	99.7828	0.217158
356	99.8128	0.18715
357	98.8911	1.10888
358	99.4672	0.532785
359	99.8987	0.101281
360	99.8409	0.159076
361	99.5945	0.405487
362	99.414	0.586027
363	99.8461	0.153869
364	99.329	0.670975
365	99.7586	0.241352
366	99.9277	0.0723379
367	99.6341	0.365943
368	99.8075	0.192529
369	99.17	0.830011
370	99.9127	0.0872833
371	99.543	0.457016
372	99.8119	0.188083
373	99.9187	0.0813032
374	99.8856	0.114404
375	99.854	0.145969
376	99.8719	0.128082
377	99.8715	0.128538
378	99.7211	0.278939
379	99.8487	0.151335
380	98.3512	1.6488
381	98.2985	1.70153
382	99.0167	0.983285
383	99.869	0.130966
384	99.9572	0.0428272
385	99.5493	0.450744
386	99.7728	0.227238
387	99.9036	0.0964243
388	99.9401	0.0598782
389	99.8914	0.10856
390	99.9103	0.0897375
391	99.9346	0.0653893
392	99.7776	0.222352
393	99.9363	0.0636872
394	99.879	0.121044
395	99.9475	0.0525286
396	99.9358	0.0641989
397	99.4533	0.54669
398	98.8413	1.1587
399	99.3819	0.61815
400	97.8718	2.12822
401	98.411	1.58898
402	99.4893	0.5107
403	99.5163	0.48367
404	99.5762	0.423813
405	99.883	0.116968
406	99.829	0.171003
407	99.8664	0.133602
408	99.3519	0.648119
409	97.6432	2.35684
410	98.4599	1.54014
411	99.9685	0.0314645
412	99.2004	0.799596
413	98.9953	1.00467
414	97.4313	2.56873
415	98.3495	1.65048
416	99.7056	0.294382
417	99.7097	0.290332
418	98.555	1.44501
419	98.8541	1.14594
420	99.9103	0.0897498
421	99.9415	0.0585409
422	99.9293	0.070749
423	99.9301	0.069887
424	99.9641	0.0359126
425	99.956	0.0440144
426	99.782	0.217966
427	99.9698	0.0302434
428	99.5572	0.44285
429	99.9548	0.0451652
430	99.9711	0.0288977
431	99.9668	0.0331961
432	99.8383	0.161684
433	99.9432	0.0567809
434	99.7661	0.23395
435	99.894	0.106005
436	99.48	0.520014
437	99.939	0.0610062
438	99.9212	0.0788124
439	99.9223	0.0776686
440	99.9169	0.0831087
441	99.8567	0.143315
442	99.8102	0.189804
443	99.6516	0.348369
444	99.9596	0.0404067
445	99.9624	0.0375738
446	99.175	0.825044
447	99.8478	0.152177
448	99.9376	0.0623783
449	99.7964	0.20363
450	99.9398	0.0601882
451	99.8755	0.124528
452	99.9408	0.059245
453	99.9238	0.0761916
454	99.8379	0.162056
455	99.934	0.0659645
456	99.6865	0.313533
457	99.8116	0.188434
458	99.9598	0.0401646
459	99.9231	0.0769102
460	99.7141	0.285936
461	99.9359	0.0640597
462	99.8837	0.116317
463	99.9681	0.031907
464	98.7832	1.21678
465	98.6044	1.39561
466	98.2783	1.72167
467	98.4728	1.5272
468	98.9996	1.00041
469	98.4837	1.51627
470	97.9236	2.07638
471	98.5032	1.49679
472	99.0927	0.907268
473	99.0473	0.952711
474	99.0764	0.923635
475	99.1646	0.835394
476	99.1207	0.879307
477	98.1399	1.86013
478	98.374	1.62602
479	98.5052	1.49478
480	98.7535	1.24648
481	98.6554	1.34457
482	98.6403	1.35971
483	98.7242	1.27584
484	98.8339	1.16608
485	98.5183	1.4817
486	98.9218	1.07821
487	98.7424	1.25756
488	98.8024	1.19758
489	99.026	0.973954
490	99.2647	0.735274
491	98.6406	1.35943
492	98.7133	1.28673
493	98.8839	1.11612
494	98.5543	1.44575
495	98.5898	1.41023
496	98.3069	1.69309
497	98.2026	1.7974
498	98.4232	1.57684
499	98.9423	1.05765
500	98.145	1.85497
501	99.9537	0.0462802
502	99.9369	0.0631002
503	99.9374	0.0625666
504	99.9146	0.0854423
505	99.8572	0.142764
506	98.9105	1.08954
507	97.7569	2.24314
508	98.2687	1.73134
509	99.3413	0.658718
510	97.1808	2.81918
511	99.0889	0.911144
512	98.266	1.73398
513	99.3057	0.694329
514	99.2338	0.766166
515	99.1676	0.832352
516	99.8841	0.115863
517	99.9382	0.0617797
518	99.9279	0.0721021
519	99.8931	0.106858
520	99.9118	0.0882396
521	98.9548	1.04524
522	98.9876	1.01238
523	99.8844	0.115567
524	98.6285	1.3715
525	99.4721	0.527942
526	98.1614	1.8386
527	99.3357	0.664306
528	99.54	0.460015
529	99.0285	0.971501
530	99.1217	0.878265
531	98.9112	1.08879
532	98.7478	1.25219
533	98.7905	1.20951
534	98.6831	1.31689
535	99.0385	0.96147
536	99.0735	0.926521
537	99.2254	0.774563
538	98.5641	1.43591
539	99.4935	0.50646
540	98.8469	1.15313
541	99.1448	0.855239
542	98.6124	1.38759
543	98.2593	1.74068
544	98.8888	1.11119
545	99.885	0.114958
546	99.3886	0.611357
547	99.84	0.160031
548	99.8834	0.116588
549	99.9042	0.0958321
550	98.625	1.37496
551	99.2077	0.792281
552	99.8212	0.178832
553	99.7833	0.216665
554	99.7674	0.232567
555	98.9395	1.06055
556	99.1915	0.808546
557	98.6199	1.38011
558	98.653	1.34702
559	99.0734	0.926563
560	98.4103	1.58974
561	98.9739	1.02608
562	99.6771	0.322944
563	98.3153	1.68475
564	98.7646	1.23542
565	99.4629	0.537119
566	99.1353	0.864745
567	98.9321	1.06792
568	99.3038	0.696156
569	99.2183	0.781686
570	99.9481	0.0518554
571	99.8811	0.118877
572	99.8744	0.125584
573	98.8545	1.14547
574	99.3992	0.6008
575	99.9663	0.0336847
576	99.823	0.176969
577	99.5571	0.442851
578	99.2385	0.761543
579	99.8028	0.19722
580	99.9168	0.0832194
581	99.6132	0.386822
